"Pos","Comp","Date","Match","Score","Goalscorer","Goalkeeper","Min","Part"
152,"SerA","11/6/1960","Juventus - Milan","3 - 4","Charles","Ghezzi","49","2 - 4"
153,"SerA","11/6/1960","Juventus - Milan","3 - 4","Mora","Ghezzi","82","3 - 4"
154,"SerA","3/12/1961","Milan - Juventus","3 - 1","Salvadore og.","Ghezzi",9,"0 - 1"
155,"SerA","11/12/1961","Milan - Juventus","5 - 1","Rosa H.","Liberalato",38,"2 - 1"
156,"SerA","3/11/1962","Juventus - Milan","2 - 4","Charles","Liberalato",42,"1 - 1"
157,"SerA","3/11/1962","Juventus - Milan","2 - 4","Mora pen.","Liberalato","87","2 - 4"
158,"SerA","11/18/1962","Juventus - Milan","1 - 0","Sivori","Ghezzi",36,"1 - 0"
159,"SerA","11/24/1963","Milan - Juventus","2 - 2","Nenê","Barluzzi","55","1 - 1"
160,"SerA","11/24/1963","Milan - Juventus","2 - 2","Sivori","Barluzzi","70","1 - 2"
161,"SerA","4/5/1964","Juventus - Milan","1 - 2","Bercellino II","Ghezzi","74","1 - 1"
162,"SerA","12/13/1964","Juventus - Milan","2 - 2","Combín","Barluzzi","48","1 - 0"
163,"SerA","12/13/1964","Juventus - Milan","2 - 2","Menichelli","Barluzzi","91","2 - 2"
164,"SerA","12/19/1965","Milan - Juventus","2 - 1","Cinesinho","Barluzzi",32,"0 - 1"
165,"SerA","4/24/1966","Juventus - Milan","3 - 0","Leoncini","Barluzzi",35,"1 - 0"
166,"SerA","4/24/1966","Juventus - Milan","3 - 0","Stacchini","Barluzzi","65","2 - 0"
167,"SerA","4/24/1966","Juventus - Milan","3 - 0","Cinesinho","Barluzzi","66","3 - 0"
168,"SerA","12/24/1966","Juventus - Milan","1 - 1","De Paoli","Barluzzi","80","1 - 1"
169,"SerA","4/30/1967","Milan - Juventus","3 - 1","Menichelli","Belli",25,"0 - 1"
170,"CI","6/7/1967","Juventus - Milan","1 - 2","Del Sol","Belli",37,"1 - 1"
171,"SerA","2/24/1968","Juventus - Milan","1 - 2","Zigoni","Cudicini",22,"1 - 1"
172,"SerA","12/7/1969","Milan - Juventus","0 - 2","Vieri R.","Cudicini","67","0 - 1"
173,"SerA","12/7/1969","Milan - Juventus","0 - 2","Zigoni","Cudicini","78","0 - 2"
174,"SerA","3/29/1970","Juventus - Milan","3 - 0","Anastasi","Cudicini",21,"1 - 0"
175,"SerA","3/29/1970","Juventus - Milan","3 - 0","Anastasi","Cudicini",23,"2 - 0"
176,"SerA","3/29/1970","Juventus - Milan","3 - 0","Leonardi","Cudicini",41,"3 - 0"
177,"SerA","2/28/1971","Milan - Juventus","1 - 1","Anquilletti og.","Cudicini",36,"0 - 1"
178,"SerA","10/31/1971","Milan - Juventus","1 - 4","Bettega R.","Cudicini",16,"0 - 1"
179,"SerA","10/31/1971","Milan - Juventus","1 - 4","Bettega R.","Cudicini",28,"0 - 2"
180,"SerA","10/31/1971","Milan - Juventus","1 - 4","Causio","Cudicini",39,"0 - 3"
181,"SerA","10/31/1971","Milan - Juventus","1 - 4","Anastasi","Cudicini","88","1 - 4"
182,"SerA","2/20/1972","Juventus - Milan","1 - 1","Salvadore","Cudicini","78","1 - 1"
183,"CI","7/1/1972","Milan - Juventus","3 - 2","Novellini","Vecchi",34,"2 - 1"
184,"CI","7/1/1972","Milan - Juventus","3 - 2","Haller","Vecchi",44,"2 - 2"
185,"SerA","10/29/1972","Juventus - Milan","2 - 2","Salvadore","Belli","70","1 - 1"
186,"SerA","10/29/1972","Juventus - Milan","2 - 2","Causio","Belli","75","2 - 1"
187,"SerA","2/18/1973","Milan - Juventus","2 - 2","Bettega R.","Vecchi",12,"0 - 1"
188,"SerA","2/18/1973","Milan - Juventus","2 - 2","Marchetti G.P.","Belli","50","1 - 2"
189,"CI","7/1/1973","Juventus - Milan","1 - 1","Bettega R.","Vecchi",16,"1 - 0"
190,"SerA","11/25/1973","Milan - Juventus","2 - 2","Anastasi","Vecchi",43,"1 - 1"
191,"SerA","11/25/1973","Milan - Juventus","2 - 2","Anastasi","Vecchi","77","1 - 2"
192,"SerA","3/17/1974","Juventus - Milan","2 - 0","Anastasi","Vecchi","46","1 - 0"
193,"SerA","3/17/1974","Juventus - Milan","2 - 0","Altafini","Vecchi","79","2 - 0"
194,"SerA","10/13/1974","Juventus - Milan","2 - 1","Bettega R.","Albertosi",20,"1 - 0"
195,"SerA","10/13/1974","Juventus - Milan","2 - 1","Anastasi","Albertosi","67","2 - 1"
198,"CI","6/22/1975","Juventus - Milan","2 - 1","Scirea","Tancredi",12,"1 - 0"
199,"CI","6/22/1975","Juventus - Milan","2 - 1","Damiani","Tancredi",35,"2 - 0"
200,"SerA","11/16/1975","Milan - Juventus","0 - 1","Gori S.","Albertosi","75","0 - 1"
201,"SerA","3/14/1976","Juventus - Milan","1 - 1","Capello F.","Albertosi","60","1 - 1"
202,"SerA","11/7/1976","Milan - Juventus","2 - 3","Bettega R.","Albertosi",21,"2 - 1"
203,"SerA","11/7/1976","Milan - Juventus","2 - 3","Benetti","Albertosi","54","2 - 2"
204,"SerA","11/7/1976","Milan - Juventus","2 - 3","Bettega R.","Albertosi","80","2 - 3"
205,"SerA","3/13/1977","Juventus - Milan","2 - 1","Boninsegna pen.","Albertosi",38,"1 - 1"
206,"SerA","3/13/1977","Juventus - Milan","2 - 1","Causio","Albertosi",40,"2 - 1"
207,"SerA","9/25/1977","Juventus - Milan","1 - 1","Gentile","Albertosi",2,"1 - 0"
208,"CI","6/4/1978","Milan - Juventus","4 - 2","Bozzi","Rigamonti","73","4 - 1"
209,"CI","6/4/1978","Milan - Juventus","4 - 2","Schincaglia","Rigamonti","80","4 - 2"
210,"SerA","11/5/1978","Juventus - Milan","1 - 0","Bettega R.","Albertosi",2,"1 - 0"
211,"SerA","10/7/1979","Milan - Juventus","2 - 1","Tardelli","Albertosi","46","2 - 1"
212,"SerA","2/3/1980","Juventus - Milan","2 - 1","Maldera A. og.","Albertosi","66","1 - 1"
213,"SerA","2/3/1980","Juventus - Milan","2 - 1","Bettega R.","Albertosi","78","2 - 1"
214,"SerA","10/4/1981","Milan - Juventus","0 - 1","Virdis","Piotti","66","0 - 1"
215,"SerA","2/14/1982","Juventus - Milan","3 - 2","Galderisi","Piotti",17,"1 - 0"
216,"SerA","2/14/1982","Juventus - Milan","3 - 2","Galderisi","Piotti","63","2 - 1"
217,"SerA","2/14/1982","Juventus - Milan","3 - 2","Galderisi","Piotti","83","3 - 2"
218,"CI","9/1/1982","Juventus - Milan","2 - 1","Rossi P.","Piotti",21,"1 - 0"
219,"CI","9/1/1982","Juventus - Milan","2 - 1","Rossi P.","Piotti","66","2 - 0"
220,"SerA","10/9/1983","Juventus - Milan","2 - 1","Platini","Nuciari",5,"1 - 0"
221,"SerA","10/9/1983","Juventus - Milan","2 - 1","Rossi P.","Nuciari",18,"2 - 0"
222,"SerA","2/19/1984","Milan - Juventus","0 - 3","Platini","Piotti",13,"0 - 1"
223,"SerA","2/19/1984","Milan - Juventus","0 - 3","Rossi P.","Piotti","65","0 - 2"
224,"SerA","2/19/1984","Milan - Juventus","0 - 3","Vignola","Piotti","84","0 - 3"
225,"SerA","10/7/1984","Juventus - Milan","1 - 1","Briaschi","Terraneo",32,"1 - 0"
226,"SerA","2/17/1985","Milan - Juventus","3 - 2","Platini pen.","Terraneo",12,"1 - 1"
227,"SerA","2/17/1985","Milan - Juventus","3 - 2","Rossi P.","Terraneo",30,"1 - 2"
228,"SerA","4/20/1986","Juventus - Milan","1 - 0","Laudrup","Terraneo","62","1 - 0"
229,"SerA","2/22/1987","Milan - Juventus","1 - 1","Serena A.","Galli G.","55","0 - 1"
230,"SerA","11/5/1989","Milan - Juventus","3 - 2","De Agostini pen.","Pazzagli","62","1 - 1"
231,"SerA","11/5/1989","Milan - Juventus","3 - 2","Schillaci","Pazzagli","65","1 - 2"
232,"SerA","3/11/1990","Juventus - Milan","3 - 0","Schillaci","Galli G.",7,"1 - 0"
233,"SerA","3/11/1990","Juventus - Milan","3 - 0","Rui Barros","Galli G.",18,"2 - 0"
234,"SerA","3/11/1990","Juventus - Milan","3 - 0","Rui Barros","Galli G.","58","3 - 0"
235,"CI","4/25/1990","Milan - Juventus","0 - 1","Galìa","Galli G.",17,"0 - 1"
236,"SerA","9/15/1991","Juventus - Milan","1 - 1","Casiraghi","Rossi S.",13,"1 - 0"
237,"SerA","2/9/1992","Milan - Juventus","1 - 1","Casiraghi","Rossi S.",26,"1 - 1"
238,"CI","4/14/1992","Juventus - Milan","1 - 0","Schillaci","Antonioli F.",22,"1 - 0"
239,"SerA","4/17/1993","Milan - Juventus","1 - 3","Möller","Rossi S.",13,"1 - 1"
240,"SerA","4/17/1993","Milan - Juventus","1 - 3","Möller","Rossi S.",20,"1 - 2"
241,"SerA","4/17/1993","Milan - Juventus","1 - 3","Baggio R.","Rossi S.","64","1 - 3"
242,"SerA","10/24/1993","Milan - Juventus","1 - 1","Baggio R. pen.","Rossi S.","61","0 - 1"
243,"SerA","10/30/1994","Juventus - Milan","1 - 0","Baggio R.","Rossi S.",43,"1 - 0"
244,"SerA","4/1/1995","Milan - Juventus","0 - 2","Ravanelli","Rossi S.",41,"0 - 1"
245,"SerA","4/1/1995","Milan - Juventus","0 - 2","Vialli","Rossi S.","84","0 - 2"
246,"SerA","10/15/1995","Milan - Juventus","2 - 1","Del Piero","Rossi S.","81","2 - 1"
247,"SerA","2/25/1996","Juventus - Milan","1 - 1","Conte A.","Rossi S.",3,"1 - 0"
248,"SerA","4/6/1997","Milan - Juventus","1 - 6","Jugović","Rossi S.",19,"0 - 1"
249,"SerA","4/6/1997","Milan - Juventus","1 - 6","Zidane pen.","Rossi S.",32,"0 - 2"
250,"SerA","4/6/1997","Milan - Juventus","1 - 6","Jugović","Rossi S.","51","0 - 3"
251,"SerA","4/6/1997","Milan - Juventus","1 - 6","Vieri C.","Rossi S.","71","0 - 4"
252,"SerA","4/6/1997","Milan - Juventus","1 - 6","Amoruso","Rossi S.","73","0 - 5"
253,"SerA","4/6/1997","Milan - Juventus","1 - 6","Vieri C.","Rossi S.","81","1 - 6"
254,"SerA","11/30/1997","Milan - Juventus","1 - 1","Inzaghi","Taibi",32,"1 - 1"
255,"SerA","3/28/1998","Juventus - Milan","4 - 1","Del Piero pen.","Rossi S.",12,"1 - 0"
256,"SerA","3/28/1998","Juventus - Milan","4 - 1","Del Piero","Rossi S.",39,"2 - 1"
257,"SerA","3/28/1998","Juventus - Milan","4 - 1","Inzaghi","Rossi S.","60","3 - 1"
258,"SerA","3/28/1998","Juventus - Milan","4 - 1","Inzaghi","Rossi S.","83","4 - 1"
259,"SerA","1/6/1999","Milan - Juventus","1 - 1","Fonseca","Rossi S.","85","1 - 1"
260,"SerA","11/21/1999","Juventus - Milan","3 - 1","Conte A.","Abbiati",23,"1 - 1"
261,"SerA","11/21/1999","Juventus - Milan","3 - 1","Inzaghi","Abbiati","51","2 - 1"
262,"SerA","11/21/1999","Juventus - Milan","3 - 1","Kovačević","Abbiati","94","3 - 1"
263,"SerA","10/22/2000","Milan - Juventus","2 - 2","Trézéguet","Abbiati","67","2 - 1"
264,"SerA","10/22/2000","Milan - Juventus","2 - 2","Conte A.","Abbiati","90","2 - 2"
265,"SerA","2/25/2001","Juventus - Milan","3 - 0","Tudor","Abbiati",9,"1 - 0"
266,"SerA","2/25/2001","Juventus - Milan","3 - 0","Inzaghi","Abbiati","67","2 - 0"
267,"SerA","2/25/2001","Juventus - Milan","3 - 0","Zidane","Abbiati","91","3 - 0"
268,"SerA","12/9/2001","Milan - Juventus","1 - 1","Del Piero pen.","Abbiati","47","1 - 1"
269,"CI","1/23/2002","Milan - Juventus","1 - 2","Birindelli","Rossi S.","48","1 - 1"
270,"CI","1/23/2002","Milan - Juventus","1 - 2","Del Piero","Rossi S.","86","1 - 2"
271,"CI","2/6/2002","Juventus - Milan","1 - 1","Zambrotta","Rossi S.","62","1 - 1"
272,"SerA","4/14/2002","Juventus - Milan","1 - 0","Chamot og.","Abbiati","78","1 - 0"
273,"SerA","11/10/2002","Juventus - Milan","2 - 1","Di Vaio","Abbiati",8,"1 - 0"
274,"SerA","11/10/2002","Juventus - Milan","2 - 1","Thuram","Abbiati",21,"2 - 0"
275,"SerA","3/22/2003","Milan - Juventus","2 - 1","Nedvěd","Dida",10,"1 - 1"
276,"SI","8/3/2003","Juventus - Milan","1 - 1","Trézéguet","Abbiati",107,"1 - 1"
277,"SerA","11/1/2003","Milan - Juventus","1 - 1","Di Vaio","Dida","84","1 - 1"
278,"SerA","3/14/2004","Juventus - Milan","1 - 3","Ferrara C.","Dida","81","1 - 3"
279,"SerA","5/8/2005","Milan - Juventus","0 - 1","Trézéguet","Dida",28,"0 - 1"
280,"SerA","10/30/2005","Milan - Juventus","3 - 1","Trézéguet","Dida","76","3 - 1"
281,"SerA","4/12/2008","Juventus - Milan","3 - 2","Del Piero","Kalac",12,"1 - 0"
282,"SerA","4/12/2008","Juventus - Milan","3 - 2","Salihamidžić","Kalac",45,"2 - 2"
283,"SerA","4/12/2008","Juventus - Milan","3 - 2","Salihamidžić","Kalac","80","3 - 2"
284,"SerA","12/14/2008","Juventus - Milan","4 - 2","Del Piero pen.","Abbiati",16,"1 - 0"
285,"SerA","12/14/2008","Juventus - Milan","4 - 2","Chiellini","Abbiati",34,"2 - 1"
286,"SerA","12/14/2008","Juventus - Milan","4 - 2","Amauri","Abbiati",41,"3 - 1"
287,"SerA","12/14/2008","Juventus - Milan","4 - 2","Amauri","Abbiati","49","4 - 2"
288,"SerA","5/10/2009","Milan - Juventus","1 - 1","Iaquinta","Kalac","60","1 - 1"
289,"SerA","10/30/2010","Milan - Juventus","1 - 2","Quagliarella","Abbiati",24,"0 - 1"
290,"SerA","10/30/2010","Milan - Juventus","1 - 2","Del Piero","Abbiati",65,"0 - 2"
291,"SerA","10/2/2011","Juventus - Milan","2 - 0","Marchisio C.","Abbiati","87","1 - 0"
292,"SerA","10/2/2011","Juventus - Milan","2 - 0","Marchisio C.","Abbiati","93","2 - 0"
293,"CI","2/8/2012","Milan - Juventus","1 - 2","Cáceres","Amelia","53","0 - 1"
294,"CI","2/8/2012","Milan - Juventus","1 - 2","Cáceres","Amelia","83","1 - 2"
